latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.351492,86.65327,4.0,19800,Asia/Kolkata,GMT+5:30

time,wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),precipitation_sum (mm),surface_pressure_mean (hPa)
2010-01-01,17.7,37.8,0.00,1014.7
2010-01-02,15.1,31.7,0.00,1015.7
2010-01-03,12.9,28.1,0.00,1014.7
2010-01-04,10.1,26.6,0.00,1012.5
2010-01-05,16.4,35.3,0.00,1011.5
2010-01-06,15.9,32.8,0.00,1013.0
2010-01-07,18.6,38.2,0.00,1014.5
2010-01-08,15.4,31.7,0.00,1014.3
2010-01-09,13.7,29.5,0.00,1013.6
2010-01-10,14.5,27.4,0.00,1014.2
2010-01-11,16.0,33.8,0.00,1014.6
2010-01-12,11.6,24.8,0.00,1014.9
2010-01-13,10.8,24.8,0.00,1015.9
2010-01-14,8.8,23.0,0.50,1017.4
2010-01-15,18.4,38.2,0.00,1018.9
2010-01-16,14.0,31.3,0.00,1019.3
2010-01-17,13.4,29.9,0.00,1018.8
2010-01-18,9.3,24.5,0.00,1017.6
2010-01-19,10.2,21.2,0.00,1015.7
2010-01-20,12.7,26.6,0.00,1016.8
2010-01-21,16.1,34.6,0.00,1015.6
2010-01-22,13.6,30.6,0.00,1015.4
2010-01-23,10.5,27.7,0.00,1015.4
2010-01-24,11.6,25.2,0.00,1014.8
2010-01-25,10.5,22.3,0.00,1014.8
2010-01-26,11.2,24.8,0.00,1015.3
2010-01-27,11.3,24.8,0.00,1015.8
2010-01-28,13.6,26.6,0.00,1016.2
2010-01-29,13.5,29.2,0.00,1015.6
2010-01-30,12.8,31.3,0.00,1014.9
2010-01-31,12.6,26.3,0.00,1015.5
2010-02-01,13.0,28.8,0.00,1015.0
2010-02-02,13.7,30.6,0.00,1014.0
2010-02-03,13.7,29.5,0.00,1013.7
2010-02-04,12.8,28.1,0.10,1014.5
2010-02-05,13.6,28.4,0.00,1015.0
2010-02-06,13.2,29.5,0.00,1015.7
2010-02-07,15.4,30.2,0.00,1014.7
2010-02-08,14.1,30.6,0.00,1012.1
2010-02-09,17.3,37.1,0.00,1011.4
2010-02-10,13.1,31.7,0.00,1012.3
2010-02-11,12.8,29.5,0.00,1014.4
2010-02-12,13.7,30.6,0.00,1014.6
2010-02-13,16.0,34.2,0.00,1012.5
2010-02-14,17.0,35.3,0.00,1011.1
2010-02-15,15.9,33.8,0.00,1012.0
2010-02-16,13.4,30.6,0.00,1012.8
2010-02-17,18.3,35.3,0.00,1012.0
2010-02-18,17.3,35.6,0.00,1012.4
2010-02-19,12.7,32.0,0.00,1013.6
2010-02-20,17.7,36.4,0.10,1013.4
2010-02-21,17.4,37.1,0.00,1013.1
2010-02-22,15.9,33.5,0.00,1012.8
2010-02-23,19.1,38.9,0.00,1010.4
2010-02-24,24.6,46.1,0.00,1008.2
2010-02-25,19.0,34.6,0.00,1009.1
2010-02-26,15.2,32.0,0.50,1011.0
2010-02-27,16.5,34.9,0.00,1010.5
2010-02-28,17.3,34.9,0.00,1010.6
2010-03-01,20.3,41.4,0.00,1011.1
2010-03-02,20.3,41.4,0.00,1009.7
2010-03-03,22.2,45.4,0.00,1007.6
2010-03-04,22.5,44.3,0.00,1007.5
2010-03-05,22.1,45.4,0.00,1007.5
2010-03-06,18.4,34.9,0.00,1008.6
2010-03-07,18.0,38.5,0.00,1010.0
2010-03-08,16.3,32.4,0.00,1010.6
2010-03-09,13.8,30.6,0.00,1013.0
2010-03-10,16.5,33.8,0.00,1013.7
2010-03-11,17.4,37.1,0.00,1014.7
2010-03-12,16.6,36.4,0.50,1014.2
2010-03-13,16.5,35.6,0.00,1011.4
2010-03-14,20.2,40.0,0.30,1008.7
2010-03-15,20.7,36.4,0.00,1008.8
2010-03-16,17.5,39.6,0.00,1010.6
2010-03-17,15.1,37.4,0.00,1013.3
2010-03-18,14.7,32.8,0.00,1014.2
2010-03-19,17.3,33.8,0.00,1011.0
2010-03-20,15.5,33.5,0.00,1009.5
2010-03-21,19.4,38.9,0.00,1007.4
2010-03-22,22.7,46.1,0.00,1004.4
2010-03-23,26.3,52.2,0.00,1003.3
