vessel,target,model,mae,rmse,smape,r2,da_pct,mae_improvement_pct,rmse_improvement_pct,smape_improvement_pct,beats_persistence_mae,beats_persistence_rmse
Handy,target_kobc_handy_next,Persistence,90.27,136.81,0.77,0.9954,0.0,0.0,0.0,0.0,False,False
Handy,target_kobc_handy_next,Ridge,186.83,229.13,1.57,0.9872,60.92,-106.97,-67.48,-103.9,False,False
Handy,target_kobc_handy_next,XGBoost,281.81,417.35,2.07,0.9575,54.2,-212.19,-205.06,-168.83,False,False
Handy,target_kobc_handy_next,LSTM,2024.09,2665.43,13.8,-0.6785,50.66,-2142.26,-1848.27,-1692.21,False,False
Supramax,target_kobc_supramax_next,Persistence,166.56,242.57,0.99,0.9908,0.0,0.0,0.0,0.0,False,False
Supramax,target_kobc_supramax_next,Ridge,178.88,233.08,1.02,0.9915,62.18,-7.4,3.91,-3.03,False,True
Supramax,target_kobc_supramax_next,XGBoost,273.97,341.34,1.52,0.9818,62.61,-64.49,-40.72,-53.54,False,False
Supramax,target_kobc_supramax_next,LSTM,2111.72,2804.5,10.41,-0.1799,57.21,-1167.84,-1056.16,-951.52,False,False
Panamax,target_kobc_panamax_next,Persistence,256.78,346.25,1.46,0.9831,0.0,0.0,0.0,0.0,False,False
Panamax,target_kobc_panamax_next,Ridge,238.48,321.35,1.34,0.9854,63.87,7.13,7.19,8.22,True,True
Panamax,target_kobc_panamax_next,XGBoost,254.28,334.1,1.45,0.9842,63.45,0.97,3.51,0.68,True,True
Panamax,target_kobc_panamax_next,LSTM,2008.2,2512.97,10.38,0.1288,55.02,-682.07,-625.77,-610.96,False,False
Cape,target_kobc_cape_next,Persistence,1131.71,1447.1,3.19,0.9682,0.0,0.0,0.0,0.0,False,False
Cape,target_kobc_cape_next,Ridge,1098.31,1433.56,3.09,0.9688,62.61,2.95,0.94,3.13,True,True
Cape,target_kobc_cape_next,XGBoost,1327.87,1832.6,3.57,0.949,59.24,-17.33,-26.64,-11.91,False,False
Cape,target_kobc_cape_next,LSTM,3352.38,4057.19,9.44,0.7494,55.02,-196.22,-180.37,-195.92,False,False
