feature,group,null_count,null_pct,std,is_constant
australia_coal_lag_1,D_commodity_energy,0,0.0,92.5441,False
australia_coal_pct_change_1,D_commodity_energy,0,0.0,2.5267,False
australia_coal_pct_change_21,D_commodity_energy,0,0.0,11.5743,False
brent_usd_bbl_lag_1,D_commodity_energy,33,2.06,20.3833,False
brent_usd_bbl_pct_change_1,D_commodity_energy,57,3.55,3.7971,False
brent_usd_bbl_pct_change_5,D_commodity_energy,63,3.93,7.9519,False
cal_day_of_week,H_calendar,0,0.0,1.4082,False
cal_is_month_end,H_calendar,0,0.0,0.1738,False
cal_month,H_calendar,0,0.0,3.3461,False
cal_quarter,H_calendar,0,0.0,1.0913,False
cross_kobc_cape_lag_1,B_cross_vessel_freight,1,0.06,12028.7687,False
cross_kobc_cape_lag_5,B_cross_vessel_freight,5,0.31,11970.6245,False
cross_kobc_handy_lag_1,B_cross_vessel_freight,1,0.06,7433.3465,False
cross_kobc_handy_lag_5,B_cross_vessel_freight,5,0.31,7442.1492,False
cross_kobc_kdci_lag_1,B_cross_vessel_freight,1,0.06,7891.9851,False
cross_kobc_kdci_lag_5,B_cross_vessel_freight,5,0.31,7884.7887,False
cross_kobc_panamax_lag_1,B_cross_vessel_freight,1,0.06,7230.8315,False
cross_kobc_panamax_lag_5,B_cross_vessel_freight,5,0.31,7237.191,False
cross_kobc_supramax_lag_1,B_cross_vessel_freight,1,0.06,7635.1484,False
cross_kobc_supramax_lag_5,B_cross_vessel_freight,5,0.31,7642.5967,False
gpr_acts_diff_1,F_geopolitical_risk,0,0.0,64.6883,False
gpr_acts_lag_1,F_geopolitical_risk,0,0.0,87.5962,False
gpr_acts_pct_change_1,F_geopolitical_risk,10,0.62,111.2607,False
gpr_diff_1,F_geopolitical_risk,0,0.0,49.8137,False
gpr_lag_1,F_geopolitical_risk,0,0.0,68.8345,False
gpr_pct_change_1,F_geopolitical_risk,0,0.0,46.1399,False
gpr_spike_ratio_ma30,F_geopolitical_risk,0,0.0,0.3875,False
gpr_spike_ratio_ma7,F_geopolitical_risk,0,0.0,0.3049,False
gpr_threats_diff_1,F_geopolitical_risk,0,0.0,70.6868,False
gpr_threats_lag_1,F_geopolitical_risk,0,0.0,87.9767,False
gpr_threats_pct_change_1,F_geopolitical_risk,0,0.0,57.38,False
haldia_turnaround_time_days_lag_1,I_port_operational,185,11.53,8.2237,False
iron_ore_lag_1,D_commodity_energy,0,0.0,27.7671,False
iron_ore_pct_change_1,D_commodity_energy,0,0.0,1.9654,False
iron_ore_pct_change_21,D_commodity_energy,0,0.0,9.1295,False
kobc_cape_diff_1,A_autoregressive_freight,1,0.06,1474.0017,False
kobc_cape_diff_21,A_autoregressive_freight,21,1.31,10453.5397,False
kobc_cape_diff_5,A_autoregressive_freight,5,0.31,4749.6816,False
kobc_cape_lag_1,A_autoregressive_freight,1,0.06,12028.7687,False
kobc_cape_lag_10,A_autoregressive_freight,10,0.62,11932.0352,False
kobc_cape_lag_2,A_autoregressive_freight,2,0.12,12010.7022,False
kobc_cape_lag_21,A_autoregressive_freight,21,1.31,11805.7482,False
kobc_cape_lag_3,A_autoregressive_freight,3,0.19,11995.8195,False
kobc_cape_lag_5,A_autoregressive_freight,5,0.31,11970.6245,False
kobc_cape_level,A_autoregressive_freight,0,0.0,12045.0754,False
kobc_cape_log_return_1,A_autoregressive_freight,1,0.06,0.0631,False
kobc_cape_log_return_5,A_autoregressive_freight,5,0.31,0.2021,False
kobc_cape_pct_change_1,A_autoregressive_freight,1,0.06,6.4367,False
kobc_cape_pct_change_21,A_autoregressive_freight,21,1.31,63.1597,False
kobc_cape_pct_change_5,A_autoregressive_freight,5,0.31,21.3916,False
kobc_cape_return_vol_30,A_autoregressive_freight,15,0.94,2.2343,False
kobc_cape_return_vol_7,A_autoregressive_freight,3,0.19,2.8383,False
kobc_cape_roll_max_30,A_autoregressive_freight,14,0.87,14175.9545,False
kobc_cape_roll_max_7,A_autoregressive_freight,2,0.12,12859.6169,False
kobc_cape_roll_mean_30,A_autoregressive_freight,14,0.87,10762.213,False
kobc_cape_roll_mean_7,A_autoregressive_freight,2,0.12,11815.9871,False
kobc_cape_roll_min_30,A_autoregressive_freight,14,0.87,8852.9955,False
kobc_cape_roll_min_7,A_autoregressive_freight,2,0.12,10897.9177,False
kobc_cape_roll_std_30,A_autoregressive_freight,14,0.87,2815.7556,False
kobc_cape_roll_std_7,A_autoregressive_freight,2,0.12,1377.6648,False
kobc_handy_diff_1,A_autoregressive_freight,1,0.06,261.4337,False
kobc_handy_diff_21,A_autoregressive_freight,21,1.31,3062.0909,False
kobc_handy_diff_5,A_autoregressive_freight,5,0.31,1068.1347,False
kobc_handy_lag_1,A_autoregressive_freight,1,0.06,7433.3465,False
kobc_handy_lag_10,A_autoregressive_freight,10,0.62,7453.4601,False
kobc_handy_lag_2,A_autoregressive_freight,2,0.12,7435.5003,False
kobc_handy_lag_21,A_autoregressive_freight,21,1.31,7479.0352,False
kobc_handy_lag_3,A_autoregressive_freight,3,0.19,7437.6927,False
kobc_handy_lag_5,A_autoregressive_freight,5,0.31,7442.1492,False
kobc_handy_level,A_autoregressive_freight,0,0.0,7431.1943,False
kobc_handy_log_return_1,A_autoregressive_freight,1,0.06,0.0175,False
kobc_handy_log_return_5,A_autoregressive_freight,5,0.31,0.0687,False
kobc_handy_pct_change_1,A_autoregressive_freight,1,0.06,1.7556,False
kobc_handy_pct_change_21,A_autoregressive_freight,21,1.31,21.3956,False
kobc_handy_pct_change_5,A_autoregressive_freight,5,0.31,7.0097,False
kobc_handy_return_vol_30,A_autoregressive_freight,15,0.94,0.6894,False
kobc_handy_return_vol_7,A_autoregressive_freight,3,0.19,0.7015,False
kobc_handy_roll_max_30,A_autoregressive_freight,14,0.87,8313.4604,False
kobc_handy_roll_max_7,A_autoregressive_freight,2,0.12,7690.1506,False
kobc_handy_roll_mean_30,A_autoregressive_freight,14,0.87,7336.056,False
kobc_handy_roll_mean_7,A_autoregressive_freight,2,0.12,7424.5029,False
kobc_handy_roll_min_30,A_autoregressive_freight,14,0.87,6429.0588,False
kobc_handy_roll_min_7,A_autoregressive_freight,2,0.12,7171.7198,False
kobc_handy_roll_std_30,A_autoregressive_freight,14,0.87,1004.5732,False
kobc_handy_roll_std_7,A_autoregressive_freight,2,0.12,356.0392,False
kobc_kdci_diff_1,C_kdci_features,1,0.06,555.5992,False
kobc_kdci_diff_21,C_kdci_features,21,1.31,4818.7737,False
kobc_kdci_diff_5,C_kdci_features,5,0.31,1959.8867,False
kobc_kdci_lag_1,C_kdci_features,1,0.06,7891.9851,False
kobc_kdci_lag_10,C_kdci_features,10,0.62,7883.9002,False
kobc_kdci_lag_2,C_kdci_features,2,0.12,7889.3384,False
kobc_kdci_lag_21,C_kdci_features,21,1.31,7875.7046,False
kobc_kdci_lag_3,C_kdci_features,3,0.19,7887.3642,False
kobc_kdci_lag_5,C_kdci_features,5,0.31,7884.7887,False
kobc_kdci_level,C_kdci_features,0,0.0,7894.4197,False
kobc_kdci_log_return_1,C_kdci_features,1,0.06,0.0284,False
