vessel,target,feature,group,ridge_coefficient,ridge_abs_coef,xgboost_importance_pct
Handy,target_kobc_handy_next,australia_coal_lag_1,D_commodity_energy,23.7353,23.7353,0.0
Handy,target_kobc_handy_next,australia_coal_pct_change_1,D_commodity_energy,3.7588,3.7588,0.0
Handy,target_kobc_handy_next,australia_coal_pct_change_21,D_commodity_energy,-7.8449,7.8449,0.0
Handy,target_kobc_handy_next,brent_usd_bbl_lag_1,D_commodity_energy,46.2274,46.2274,0.0148
Handy,target_kobc_handy_next,brent_usd_bbl_pct_change_1,D_commodity_energy,8.0838,8.0838,0.0
Handy,target_kobc_handy_next,brent_usd_bbl_pct_change_5,D_commodity_energy,7.0252,7.0252,0.0215
Handy,target_kobc_handy_next,cal_day_of_week,H_calendar,-2.6585,2.6585,0.0
Handy,target_kobc_handy_next,cal_is_month_end,H_calendar,2.9445,2.9445,0.0
Handy,target_kobc_handy_next,cal_month,H_calendar,56.2001,56.2001,0.0
Handy,target_kobc_handy_next,cal_quarter,H_calendar,-92.5462,92.5462,0.0
Handy,target_kobc_handy_next,cross_kobc_cape_lag_1,B_cross_vessel_freight,-17.0928,17.0928,0.0157
Handy,target_kobc_handy_next,cross_kobc_cape_lag_5,B_cross_vessel_freight,-23.7526,23.7526,0.0
Handy,target_kobc_handy_next,cross_kobc_handy_lag_1,B_cross_vessel_freight,787.9529,787.9529,3.8472
Handy,target_kobc_handy_next,cross_kobc_handy_lag_5,B_cross_vessel_freight,703.3796,703.3796,0.0035
Handy,target_kobc_handy_next,cross_kobc_kdci_lag_1,B_cross_vessel_freight,87.3852,87.3852,0.0
Handy,target_kobc_handy_next,cross_kobc_kdci_lag_5,B_cross_vessel_freight,87.5882,87.5882,0.0203
Handy,target_kobc_handy_next,cross_kobc_panamax_lag_1,B_cross_vessel_freight,-79.686,79.686,0.0
Handy,target_kobc_handy_next,cross_kobc_panamax_lag_5,B_cross_vessel_freight,-58.5369,58.5369,0.0
Handy,target_kobc_handy_next,cross_kobc_supramax_lag_1,B_cross_vessel_freight,130.5395,130.5395,0.0615
Handy,target_kobc_handy_next,cross_kobc_supramax_lag_5,B_cross_vessel_freight,149.7873,149.7873,0.0007
Handy,target_kobc_handy_next,gpr_acts_diff_1,F_geopolitical_risk,27.0573,27.0573,0.0033
Handy,target_kobc_handy_next,gpr_acts_lag_1,F_geopolitical_risk,-4.5549,4.5549,0.0103
Handy,target_kobc_handy_next,gpr_acts_pct_change_1,F_geopolitical_risk,-14.539,14.539,0.0034
Handy,target_kobc_handy_next,gpr_diff_1,F_geopolitical_risk,-44.1634,44.1634,0.0
Handy,target_kobc_handy_next,gpr_lag_1,F_geopolitical_risk,16.5925,16.5925,0.0
