mae,rmse,mape,smape,r2,da_pct,fold,model,target,vessel,train_size,test_size
115.75,158.55,0.98,0.98,0.9832,0.0,1,Persistence,target_kobc_handy_next,Handy,949,126
152.98,190.87,1.32,1.33,0.9756,63.49,1,Ridge,target_kobc_handy_next,Handy,949,126
232.43,316.35,1.96,1.99,0.9329,50.79,1,XGBoost,target_kobc_handy_next,Handy,949,126
1186.57,1712.72,9.53,8.81,-1.333,41.88,1,LSTM,target_kobc_handy_next,Handy,949,126
175.69,217.5,1.14,1.14,0.9639,0.0,1,Persistence,target_kobc_supramax_next,Supramax,949,126
264.42,308.63,1.73,1.71,0.9273,62.7,1,Ridge,target_kobc_supramax_next,Supramax,949,126
193.67,252.66,1.25,1.25,0.9513,61.9,1,XGBoost,target_kobc_supramax_next,Supramax,949,126
1729.37,2393.87,11.01,10.18,-3.3561,50.43,1,LSTM,target_kobc_supramax_next,Supramax,949,126
289.58,386.22,1.74,1.74,0.9608,0.79,1,Persistence,target_kobc_panamax_next,Panamax,949,126
248.83,313.86,1.49,1.49,0.9741,65.08,1,Ridge,target_kobc_panamax_next,Panamax,949,126
297.44,385.17,1.77,1.77,0.961,65.08,1,XGBoost,target_kobc_panamax_next,Panamax,949,126
1734.05,2025.91,10.11,9.85,-0.2774,43.59,1,LSTM,target_kobc_panamax_next,Panamax,949,126
1199.63,1505.57,4.52,4.53,0.9321,0.0,1,Persistence,target_kobc_cape_next,Cape,949,126
1051.01,1351.81,4.02,4.02,0.9452,66.67,1,Ridge,target_kobc_cape_next,Cape,949,126
1198.93,1496.12,4.48,4.55,0.9329,64.29,1,XGBoost,target_kobc_cape_next,Cape,949,126
2214.85,2704.66,7.85,8.06,0.7565,47.01,1,LSTM,target_kobc_cape_next,Cape,949,126
93.81,130.43,1.03,1.02,0.9957,0.0,2,Persistence,target_kobc_handy_next,Handy,1075,127
115.64,146.32,1.18,1.18,0.9946,74.8,2,Ridge,target_kobc_handy_next,Handy,1075,127
125.27,187.46,1.47,1.43,0.9912,54.33,2,XGBoost,target_kobc_handy_next,Handy,1075,127
1154.28,1255.37,10.95,11.56,0.5998,73.73,2,LSTM,target_kobc_handy_next,Handy,1075,127
120.16,161.24,0.94,0.93,0.9957,0.0,2,Persistence,target_kobc_supramax_next,Supramax,1075,127
161.91,185.85,1.16,1.17,0.9943,74.8,2,Ridge,target_kobc_supramax_next,Supramax,1075,127
125.55,170.37,0.9,0.9,0.9952,72.44,2,XGBoost,target_kobc_supramax_next,Supramax,1075,127
449.36,556.82,3.43,3.45,0.9476,70.34,2,LSTM,target_kobc_supramax_next,Supramax,1075,127
150.21,201.73,1.3,1.29,0.9947,1.57,2,Persistence,target_kobc_panamax_next,Panamax,1075,127
189.93,257.93,1.77,1.74,0.9914,56.69,2,Ridge,target_kobc_panamax_next,Panamax,1075,127
276.44,363.0,2.76,2.68,0.983,48.03,2,XGBoost,target_kobc_panamax_next,Panamax,1075,127
