target,model,hyperparameters,mae,rmse,mape,smape,r2,da_pct
bdi_hsi,Persistence,None,3.3,4.71,0.71,0.7,0.9979,10.98
bdi_hsi,MovingAverage_3,window=3,6.4,9.07,1.38,1.37,0.9923,9.25
bdi_hsi,MovingAverage_5,window=5,9.49,13.34,2.05,2.03,0.9833,8.96
bdi_hsi,MovingAverage_10,window=10,16.78,23.39,3.66,3.59,0.9487,12.14
bdi_hsi,MovingAverage_21,window=21,30.65,42.4,6.73,6.47,0.8313,17.63
bdi_hsi,Ridge_a0.1,alpha=0.1,2.12,2.71,0.45,0.45,0.9993,78.03
bdi_hsi,Ridge_a1.0,alpha=1.0,2.12,2.69,0.45,0.45,0.9993,77.46
bdi_hsi,Ridge_a10.0,alpha=10.0,2.59,3.21,0.54,0.54,0.999,76.3
bdi_hsi,Ridge_a100.0,alpha=100.0,6.41,7.88,1.3,1.29,0.9942,74.28
bdi_si,Persistence,None,7.6,10.82,0.95,0.95,0.9964,5.2
bdi_si,MovingAverage_3,window=3,14.79,20.98,1.87,1.86,0.9865,10.69
bdi_si,MovingAverage_5,window=5,21.59,30.65,2.73,2.72,0.9712,13.87
bdi_si,MovingAverage_10,window=10,36.42,52.13,4.64,4.58,0.9167,21.39
bdi_si,MovingAverage_21,window=21,61.54,87.37,7.93,7.6,0.7661,29.19
bdi_si,Ridge_a0.1,alpha=0.1,4.21,5.63,0.51,0.51,0.999,78.03
bdi_si,Ridge_a1.0,alpha=1.0,4.15,5.52,0.5,0.5,0.9991,77.46
bdi_si,Ridge_a10.0,alpha=10.0,4.1,5.33,0.48,0.48,0.9991,77.17
bdi_si,Ridge_a100.0,alpha=100.0,7.69,9.8,0.86,0.86,0.9971,61.27
bdi_pi,Persistence,None,19.97,27.47,1.58,1.58,0.9926,1.45
bdi_pi,MovingAverage_3,window=3,38.04,51.64,3.03,3.02,0.9739,15.9
bdi_pi,MovingAverage_5,window=5,54.1,73.02,4.33,4.32,0.9479,22.25
bdi_pi,MovingAverage_10,window=10,86.09,116.6,6.97,6.89,0.8671,29.19
bdi_pi,MovingAverage_21,window=21,134.45,183.85,11.25,10.88,0.6696,36.42
bdi_pi,Ridge_a0.1,alpha=0.1,10.77,14.32,0.87,0.87,0.998,78.9
bdi_pi,Ridge_a1.0,alpha=1.0,10.62,14.14,0.85,0.85,0.998,78.61
bdi_pi,Ridge_a10.0,alpha=10.0,10.91,14.48,0.89,0.89,0.998,78.32
bdi_pi,Ridge_a100.0,alpha=100.0,19.67,24.97,1.57,1.58,0.9939,67.63
bdi_ci,Persistence,None,80.57,110.77,5.55,5.59,0.987,0.0
bdi_ci,MovingAverage_3,window=3,139.84,186.94,9.8,9.8,0.963,25.43
bdi_ci,MovingAverage_5,window=5,184.74,243.51,13.28,13.08,0.9373,30.35
bdi_ci,MovingAverage_10,window=10,278.46,354.25,20.77,19.57,0.8672,32.95
bdi_ci,MovingAverage_21,window=21,430.54,529.05,31.83,28.69,0.7039,35.84
bdi_ci,Ridge_a0.1,alpha=0.1,74.34,97.66,5.81,5.71,0.9899,70.23
bdi_ci,Ridge_a1.0,alpha=1.0,73.34,96.05,5.63,5.44,0.9902,71.1
bdi_ci,Ridge_a10.0,alpha=10.0,72.63,94.83,5.67,5.45,0.9905,71.68
bdi_ci,Ridge_a100.0,alpha=100.0,79.11,103.33,6.5,6.37,0.9887,70.81
