target,model,mean_mae,median_mae,std_mae,mean_rmse,mean_smape,mean_r2,mean_da_pct,n_folds
bdi_ci,Ridge_a1.0,63.82,63.15,8.61,85.99,6.2,0.9859,69.0,5
bdi_ci,Ensemble_Ridge_XGB,65.63,71.59,10.66,87.97,6.73,0.9856,69.4,5
bdi_ci,Persistence,67.95,65.87,15.06,94.56,4.81,0.9829,1.4,5
bdi_ci,XGBoost,79.75,80.51,20.31,110.26,8.99,0.9758,67.7,5
bdi_ci,LSTM,162.17,139.01,70.62,202.39,16.35,0.9099,54.5,5
bdi_hsi,Ridge_a1.0,1.97,1.88,0.34,2.68,0.46,0.9979,79.3,5
bdi_hsi,Persistence,3.45,3.5,0.63,4.66,0.79,0.9945,9.2,5
bdi_hsi,Ensemble_Ridge_XGB,3.91,2.75,3.2,5.89,1.19,0.9897,74.7,5
bdi_hsi,XGBoost,6.85,3.66,6.88,10.57,2.08,0.9635,69.0,5
bdi_hsi,LSTM,22.34,16.06,15.55,27.32,5.8,0.7321,45.7,5
bdi_pi,Ridge_a1.0,10.1,10.72,1.42,13.52,1.11,0.996,80.4,5
bdi_pi,Ensemble_Ridge_XGB,15.23,14.18,6.78,23.2,2.06,0.9875,76.5,5
bdi_pi,Persistence,18.65,19.05,5.57,25.13,1.76,0.986,2.1,5
bdi_pi,XGBoost,23.62,20.89,13.6,39.22,3.22,0.9628,74.6,5
bdi_pi,LSTM,52.76,57.09,20.73,68.31,6.2,0.8678,61.1,5
bdi_si,Ridge_a1.0,4.21,4.19,0.6,5.95,0.6,0.9975,79.7,5
bdi_si,Persistence,7.11,6.69,1.86,9.58,0.98,0.9938,4.5,5
bdi_si,Ensemble_Ridge_XGB,10.27,5.71,11.38,15.42,2.04,0.9847,75.5,5
bdi_si,XGBoost,17.96,8.28,22.57,27.62,3.43,0.947,71.4,5
bdi_si,LSTM,29.81,21.25,25.33,39.27,4.99,0.9068,59.0,5
