fold,target,model,mae,rmse,mape,smape,r2,da_pct
1,bdi_hsi,Persistence,2.91,3.65,0.95,0.95,0.9981,10.5
1,bdi_hsi,Ridge_a1.0,1.88,2.5,0.63,0.63,0.9991,79.5
1,bdi_hsi,XGBoost,19.13,31.27,8.35,7.39,0.8616,54.5
1,bdi_hsi,LSTM,48.11,61.75,19.33,16.32,0.4602,48.5
1,bdi_hsi,Ensemble_Ridge_XGB,9.61,15.42,4.16,3.91,0.9663,61.5
1,bdi_si,Persistence,5.68,6.96,1.19,1.19,0.9987,6.0
1,bdi_si,Ridge_a1.0,4.46,5.72,1.02,1.01,0.9991,77.0
1,bdi_si,XGBoost,58.24,88.99,16.59,13.32,0.7837,52.5
1,bdi_si,LSTM,74.79,99.64,19.63,16.07,0.7288,64.5
1,bdi_si,Ensemble_Ridge_XGB,30.58,46.11,8.64,7.65,0.9419,55.5
1,bdi_pi,Persistence,10.05,12.91,1.77,1.77,0.9963,3.5
1,bdi_pi,Ridge_a1.0,10.72,13.35,2.17,2.15,0.9961,72.0
1,bdi_pi,XGBoost,47.22,75.63,12.73,10.67,0.8747,66.5
1,bdi_pi,LSTM,73.04,94.07,17.42,14.81,0.8061,59.0
1,bdi_pi,Ensemble_Ridge_XGB,26.83,40.95,7.04,6.38,0.9633,66.5
1,bdi_ci,Persistence,46.63,72.73,5.26,5.28,0.9869,4.0
1,bdi_ci,Ridge_a1.0,63.15,86.83,12.07,14.13,0.9813,62.0
1,bdi_ci,XGBoost,105.91,147.4,39.35,24.97,0.9461,61.5
1,bdi_ci,LSTM,283.6,318.65,58.8,45.08,0.7481,54.5
1,bdi_ci,Ensemble_Ridge_XGB,72.05,91.31,21.05,16.66,0.9793,60.0
2,bdi_hsi,Persistence,3.96,5.69,0.91,0.91,0.9928,7.0
2,bdi_hsi,Ridge_a1.0,2.46,3.75,0.57,0.57,0.9969,74.0
2,bdi_hsi,XGBoost,3.66,6.44,0.84,0.83,0.9909,70.5
2,bdi_hsi,LSTM,16.06,17.99,3.87,3.96,0.9286,37.0
2,bdi_hsi,Ensemble_Ridge_XGB,2.75,4.49,0.63,0.63,0.9955,73.5
2,bdi_si,Persistence,6.69,10.17,0.91,0.91,0.9904,3.5
2,bdi_si,Ridge_a1.0,4.18,7.96,0.56,0.56,0.9941,86.5
2,bdi_si,XGBoost,5.61,9.27,0.81,0.81,0.992,75.5
2,bdi_si,LSTM,21.25,27.55,2.89,2.83,0.9291,55.5
2,bdi_si,Ensemble_Ridge_XGB,4.04,7.23,0.57,0.57,0.9951,81.5
2,bdi_pi,Persistence,17.36,26.63,1.89,1.89,0.9887,3.0
2,bdi_pi,Ridge_a1.0,7.96,11.98,0.87,0.88,0.9977,82.5
2,bdi_pi,XGBoost,13.7,26.83,1.38,1.36,0.9885,82.5
2,bdi_pi,LSTM,34.9,45.03,4.21,4.17,0.9677,61.0
2,bdi_pi,Ensemble_Ridge_XGB,9.64,16.64,1.01,1.01,0.9956,83.0
2,bdi_ci,Persistence,62.72,87.09,4.57,4.59,0.9737,2.0
2,bdi_ci,Ridge_a1.0,51.56,73.5,3.71,3.77,0.9812,73.0
2,bdi_ci,XGBoost,52.72,71.9,3.82,3.84,0.9821,73.0
2,bdi_ci,LSTM,99.12,126.03,7.63,7.52,0.9449,44.0
2,bdi_ci,Ensemble_Ridge_XGB,47.48,67.94,3.39,3.43,0.984,75.0
3,bdi_hsi,Persistence,3.5,4.49,0.65,0.65,0.9964,8.5
3,bdi_hsi,Ridge_a1.0,1.56,2.0,0.29,0.29,0.9993,83.0
3,bdi_hsi,XGBoost,3.34,4.53,0.6,0.6,0.9963,73.0
3,bdi_hsi,LSTM,8.97,11.32,1.67,1.68,0.9772,42.0
3,bdi_hsi,Ensemble_Ridge_XGB,1.98,2.72,0.36,0.36,0.9987,81.0
3,bdi_si,Persistence,7.99,10.25,0.91,0.91,0.9921,2.5
3,bdi_si,Ridge_a1.0,4.19,5.38,0.48,0.48,0.9978,81.0
3,bdi_si,XGBoost,7.74,11.43,0.86,0.85,0.9902,77.5
3,bdi_si,LSTM,21.81,29.53,2.37,2.33,0.9343,63.5
3,bdi_si,Ensemble_Ridge_XGB,5.04,7.21,0.56,0.56,0.9961,84.5
3,bdi_pi,Persistence,24.61,30.44,1.93,1.93,0.9832,1.0
3,bdi_pi,Ridge_a1.0,10.86,13.74,0.86,0.86,0.9966,85.0
3,bdi_pi,XGBoost,20.89,29.11,1.54,1.53,0.9846,75.0
3,bdi_pi,LSTM,27.61,33.56,2.23,2.25,0.9796,69.0
3,bdi_pi,Ensemble_Ridge_XGB,14.18,19.13,1.08,1.07,0.9934,78.0
3,bdi_ci,Persistence,65.87,83.66,3.23,3.25,0.9912,1.0
3,bdi_ci,Ridge_a1.0,60.45,78.89,2.78,2.81,0.9922,66.5
3,bdi_ci,XGBoost,90.63,125.92,3.73,3.77,0.9801,62.5
3,bdi_ci,LSTM,138.6,192.86,5.6,5.7,0.9534,58.0
3,bdi_ci,Ensemble_Ridge_XGB,71.59,95.54,3.07,3.1,0.9886,64.0
4,bdi_hsi,Persistence,2.73,3.72,0.47,0.47,0.988,10.5
4,bdi_hsi,Ridge_a1.0,1.83,2.44,0.32,0.32,0.9949,76.5
4,bdi_hsi,XGBoost,4.58,5.85,0.79,0.79,0.9704,68.0
4,bdi_hsi,LSTM,25.0,28.05,4.31,4.2,0.319,47.5
4,bdi_hsi,Ensemble_Ridge_XGB,2.76,3.57,0.48,0.47,0.989,73.5
4,bdi_si,Persistence,5.32,7.24,0.53,0.53,0.994,8.0
4,bdi_si,Ridge_a1.0,3.28,4.33,0.33,0.33,0.9979,74.5
4,bdi_si,XGBoost,9.93,14.49,0.92,0.91,0.976,73.5
4,bdi_si,LSTM,16.56,19.69,1.64,1.64,0.9557,52.0
