scenario_id,vessel,cargo_mt,charter_now_cost_usd,optimal_cost_usd,net_savings_usd,net_savings_pct,action
SCN_01_PARADIP_COAL_2016_TROUGH,Panamax,75000.0,127650.0,127650.0,0.0,0.0,CHARTER NOW
SCN_02_VIZAG_COAL_2016_RECOVERY,Supramax,55000.0,179832.0,179832.0,0.0,0.0,FLEXIBLE / MONITOR
SCN_03_GANGAVARAM_ORE_2017_BULL,Capesize,170000.0,365800.0,267318.4,98481.6,26.92,FLEXIBLE / MONITOR
SCN_04_DHAMRA_COAL_2017_EXPANSION,Panamax,75000.0,397862.5,397862.5,0.0,0.0,CHARTER NOW
SCN_05_GOPALPUR_LIMESTONE_2018_PEAK,Supramax,45000.0,189960.0,189960.0,0.0,0.0,FLEXIBLE / MONITOR
SCN_06_HALDIA_COAL_2018_DRAFT_RESTRICTED,Handysize,30000.0,112320.0,112320.0,0.0,0.0,FLEXIBLE / MONITOR
SCN_07_PARADIP_COAL_2018_TARIFF_SHOCK,Panamax,75000.0,421275.0,421275.0,0.0,0.0,CHARTER NOW
SCN_08_VIZAG_ORE_2019_BRUMADINHO_SLUMP,Panamax,150000.0,170062.5,170062.5,0.0,0.0,CHARTER NOW
SCN_09_DHAMRA_COAL_2019_PRE_MONSOON,Panamax,70000.0,332600.0,332600.0,0.0,0.0,CHARTER NOW
SCN_10_GANGAVARAM_ORE_2019_CAPESIZE_SQUEEZE,Capesize,175000.0,996080.0,996080.0,0.0,0.0,CHARTER NOW
